Id,Sentiment,Acara TV,Jumlah Retweet,Text Tweet
1,positive,HitamPutihTransTV,12,"Undang @N_ShaniJKT48 ke hitamputih, pemenang SSK JKT48 harusnya mJKT48 ini lebih Layak di Undang karena prestasinya"
2,positive,HitamPutihTransTV,6,Selamat berbuka puasa Semoga amal ibadah hari ni diterima Allah #hitamputih
3,positive,HitamPutihTransTV,9,"Ada nih di trans7 hitam putih, dia dpt penghargaan juga di norwegia #hitamputih"
4,positive,HitamPutihTransTV,2,selamat ya mas @adietaufan masuk hitamputih
5,positive,HitamPutihTransTV,1,Asiknya nonton Hitam Putih Trans7
6,positive,HitamPutihTransTV,2,@TRANS7 acara paling komplit dan menarik apalagi ada hitam putih
7,positive,HitamPutihTransTV,1,hitam putih T7 inspiratif banget
8,positive,HitamPutihTransTV,3,Suka banget dengan acara hitam putih
9,positive,HitamPutihTransTV,0,Keren lu bro #HitamPutihTrans7
10,positive,HitamPutihTransTV,15,"Tadi ada yg liat hitam putih di trans7 ga, Ada sanggu ganteng"
11,positive,HitamPutihTransTV,2,cinta mengikat silaturahmi di hati ... #LunaMaya #hitamputihtrans7 .... https://www.instagram.com/p/BTqszJ3jO9A/
12,positive,HitamPutihTransTV,10,Terima kasih pak.... Sudah mau membantu kami untuk menyekolahkan adik saya.... #hitamputihtrans7
13,positive,HitamPutihTransTV,2,Semoga lancar hitamputihtrans7
14,positive,HitamPutihTransTV,1,Trans7 Hitam Putih terbaik https://www.instagram.com/p/BTYyTXMgVKd/
15,positive,HitamPutihTransTV,9,Acara hitam putih paling bagus buat di lihat
16,positive,HitamPutihTransTV,4,"@TRANS7 undang @DA3_Rafly di acara hitam putih ya,dia jebolan dangdut academi pinter nyanyi lagu india suaranya keren"
17,positive,HitamPutihTransTV,12,"Bagus Rancangan Seperti ini di TRANS7 HitamPutih, Sambil2 Dakwah Hiburannya. Terima kasih Ustadz Wijayanto..."
18,positive,HitamPutihTransTV,3,"Wah kapan Rihanna bisa jadi bintang tamu Hitam Putih kayak di @ASAL_Trans7. jadi kangen, kapan tayang lagi di @TRANS7?"
19,positive,HitamPutihTransTV,0,Terimakasih telah menonton Hitam Putih malam ini. Semoga dapat menginspirasi dan dapat memberikan pelajaran utk Sobat7. #RafatharonHP
