Id,Sentiment,Pasangan Calon,Text Tweet
1,Negatif,Agus-Sylvi,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh
2,Negatif,Agus-Sylvi,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk
3,Negatif,Agus-Sylvi,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..
4,Negatif,Agus-Sylvi,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017
5,Negatif,Agus-Sylvi,Maaf ya pendukung #AgusSilvy..hayo dukung #AniesSandi diputaran 2 @ronavioleta @NetizenTofa
6,Negatif,Agus-Sylvi,"aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub, anda lebay seperti yg anda dukung #agussilvy"
7,Negatif,Agus-Sylvi,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.
8,Negatif,Agus-Sylvi,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini
9,Negatif,Agus-Sylvi,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan
10,Negatif,Agus-Sylvi,Mengenang pidato kekalahan #ahy
11,Negatif,Agus-Sylvi,"dammnn,!! politik cantik #SBY ngorbanin #AHY"
12,Negatif,Agus-Sylvi,"Batal nyoblos, baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing	"
13,Negatif,Agus-Sylvi,sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy
14,Negatif,Agus-Sylvi,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI
15,Negatif,Agus-Sylvi,Karna yang belebihan itu tidak baik ya bah #AHY
16,Negatif,Agus-Sylvi,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY"
17,Negatif,Agus-Sylvi,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk
18,Negatif,Agus-Sylvi,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi
19,Negatif,Agus-Sylvi,dia lah Banteng.. dia lah Garuda!! ksatria seperti bpk @prabowo gentle spt #AHY @AgusYudhoyono ..jadi cinta sama #HajiDjarot
20,Negatif,Agus-Sylvi,"Gara2 e-KTP dikorupsi, fotoku yg semula mirip #AHY, pelan tapi pasti skrang malah mirip - Stickmoticons”"
21,Negatif,Agus-Sylvi,"Double LOL. @aniesbaswedan nuduh @AgusYudhoyono miskin ide, sekarang dia copy #AHY. @SBYudhoyono http://m.republika.co.id"
22,Negatif,Agus-Sylvi,Kemana nih Antasari. .. #ahy kalah di #pilgubdki2017 melempem dia... bener-bener akting yang https://www.instagram.com/p/BRXaBMtBUeb/
23,Negatif,Agus-Sylvi,Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦ https://www.instagram.com/p/BROjg0gBpYa/
24,Negatif,Agus-Sylvi,"#ahy, pakdhe karwo, Pilgub Jatim, Pak Dhe Karwo Isyaratkan Agus Tidak Akan Maju di Pilgub Jatim"
25,Negatif,Agus-Sylvi,"Paslon salah langkah seperti dilakukan Sandi ini, bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin"
26,Negatif,Agus-Sylvi,"Jangan2, relawan inilah yang gembosi #AHY lalu."
27,Negatif,Agus-Sylvi,"Di manakah #AHY... Sang Ksatria, Samurai, Prajurit, Pembangun semangat & harapan, Pahlawan yg dinanti-nantikan rakyat itu..."
28,Negatif,Agus-Sylvi,"Kini, ketika #AHY berada di luar arena, tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?"
29,Negatif,Agus-Sylvi,"@AdjieRimbawan isu lama diangkat lagi, video lama dishare lagi, padahal video sudah disebar buzzer #AHY eh jelang #putaranke2 disebar lagi"
30,Negatif,Agus-Sylvi,Baru tau Bu Carik @luviku tidak coblos #AHY kemarin. Piss
31,Negatif,Agus-Sylvi,"Awas ye kalo minta dukungan suara pendukung #AHY	"
32,Negatif,Agus-Sylvi,Ini Dia Pelaku Pengirim SMS Gelap Antasari Azhar #Indonesia #SBY #AHY #Anies #Ahok #Berita #JumatBerkah #Rizieq
33,Negatif,Agus-Sylvi,Antasari Diancam Harry Tanoe https://youtu.be/9KbbpAjibTc  #Antasari #ahok #Sby #AHY #berita #MetroTV #Indonesia #JumatBerkah #KimJongNam
