Id,Text Tweet,Sentiment
1,<USER_MENTION> #BOIKOT_<PROVIDER_NAME> Gunakan Produk Bangsa Sendiri <PROVIDER_NAME>,positive
2,"Saktinya balik lagi, alhamdulillah :v <PROVIDER_NAME>",positive
3,Selamat pagi <PROVIDER_NAME>  bisa bantu kenapa di dalam kamar sinyal 4G hilang yang 1 lagi panggilan darurat saja  <URL>,negative
4,Dear <PROVIDER_NAME> akhir2 ini jaringan data lemot banget padahal H+ !!!!,negative
5,Selamat malam PENDUSTA <PROVIDER_NAME> ,negative
6,Untuk penembakan paket dari <PRODUCT_NAME> masih gangguan ya <PROVIDER_NAME>,negative
7,"<PROVIDER_NAME>  aku pakai <PROVIDER_NAME>, paket <PRODUCT_NAME> nya udah off tapi gantinya ada paket <PRODUCT_NAME> yg bisa gratisan youtube, senang banget <PROVIDER_NAME>",positive
8,RT <USER_MENTION>: <PROVIDER_NAME> tak ada lagi dalam kamus perhapean saya. #Boikot<PROVIDER_NAME> <URL>,negative
9,keluhan gak ditanggapi. bikin emosi aja. pulsaku dicuri terus. soak deh. masa setiap hari pulsa berkurang 1500-2100 bisa 2-3*/hari,negative
10,#Bilboard iklan <PROVIDER_NAME> kok ada pesan tersembunyi? #Boikot<PROVIDER_NAME> #Ramadhan <URL>,negative
11,"<PROVIDER_NAME> mampus!!!!! bulan puasa, subuh2 mau sahur cek pulsa tersedot terus. dan sekarang sisa 30 ribu <PROVIDER_NAME> Tolong dibaca!!!",negative
12,<USER_MENTION> Pernah coba pakai <PROVIDER_NAME> tapi parah koneksinya ,negative
13,"Setuju, <USER_MENTION> silahkan boikot saja pelanggan <PROVIDER_NAME> pendukung #HRS <URL>",negative
14,"Dibela belain daftarin kartu 4G tunggu sejam siang2 sambil puasa, sampai rumah sinyal 4Gnya gak ada, adanya di kota!, <PROVIDER_NAME>",negative
15,<PROVIDER_NAME> datanya kok sering hilang <PROVIDER_NAME>,negative
16,#internetlelet  <PROVIDER_NAME> ga sesuai iklan ,negative
17,<PROVIDER_NAME> <PROVIDER_NAME> kangen nih dapat kiriman pos marchandes nya <PROVIDER_NAME> langsung dari pak pos nya ,positive
18,"yang katanya 150MBPS kecepatanya cuma 3kbps, kuota full. Ga bisa buka google? Udah bikin nguras uang dan baterai… <URL>",negative
19,kuota #internet <PROVIDER_NAME> masih banyak tapi koneksi internetnya LAMBAT BANGET! #<PRODUCT_NAME> <PROVIDER_NAME> #4G #lte… <URL>,negative
20,Ampun... Sinyal 4G <PROVIDER_NAME> lemot seperti siput. Acara live streaming jadi terganggu. Mundur terus <PROVIDER_NAME>,negative
21,Jaringan <PROVIDER_NAME> di Nabire bagus? Itu hanya berita HOAX #HOAX <PROVIDER_NAME>,negative
22,Makin jelek jaringan di takalar <PROVIDER_NAME>,negative
23,Jadi stabil disini. <PROVIDER_NAME> <URL>,positive
24,#CUG <PROVIDER_NAME> #Community Sangat Cocok Buat Komunikasi Antar :. - Keluarga. - Rekan Bisnis / Kerja. - Sekolah / Kampus. - Hubungan Jarak.,positive
25,<PROVIDER_NAME> <PROVIDER_NAME> ini kualitas provider <PROVIDER_NAME> gangguan trouble mahal berhari2 #useless4g <URL>,negative
26,<PROVIDER_NAME> <PRODUCT_NAME> sinyalnya tai...,negative
27,Jaringan internet <PROVIDER_NAME> di sumba timur parah....,negative
28,"Dengan ajaib kuota hilang, usage diberikan bahkan bukti penggunaan tidak melebihi batas. <URL>",negative
29,"Bertahun tahun pakai <PROVIDER_NAME>. Masa aktif sampai 2018 karena seringnya ""bayar"" untuk dapat pelayanan yang memuaskan",negative
30,cepat banget data <PROVIDER_NAME> habis <URL>,negative
31,<USER_MENTION>: Apa gak kurang tolol namanya. <PROVIDER_NAME> provider gak ada urusan sama semua Chat App! ,negative
32,"mungkin <PROVIDER_NAME> benar, berarti tinggal #whatsappNotSave <URL>",negative
33,"Hore,,, Akhirnya ada sinyal 4G <PROVIDER_NAME> di Sambu",positive
34,Alhamdulilah dikunjungi para vendor mitra <PROVIDER_NAME> ke #klinikKUMSda… <URL>,positive
35,Terlambat ikut <PRODUCT_NAME>... Jelaslah jaringan <PROVIDER_NAME> lemot...,negative
36,"<PROVIDER_NAME> tega, Menyampaikan pesan kok suka telat,, bikin #BAPER",negative
37,Jaringan 4G kecepatan 2G <PROVIDER_NAME>,negative
38,Paket extra combo kok lemot ya <PROVIDER_NAME>,negative
39,Kenapa! Masa buka Facebook aja gak bisa <PROVIDER_NAME>,negative
40,"Rugi isi kuota <PROVIDER_NAME> jaringannya busuk banget, dirugikan ..",negative
41,solidaritas perlu.. tapi perasaan lebih penting lagi dari solidaritas.  ngomong dong <PROVIDER_NAME>,negative
42,<PROVIDER_NAME> 1berbagi tanpa kuota 2 berbagai kapan saja <PROVIDER_NAME> bagi berkah <USER_MENTION>,positive
43,"<PROVIDER_NAME> bagi berkah 1video ngabuburit dengan anak, video sahur bersama keluarga, video pakai baju koko baru, <USER_MENTION>",positive
44,Koneksi <PROVIDER_NAME> di daerah #sawojajar kota #malang seminggu ini lemot parah ? lagi gangguan kah? <PROVIDER_NAME>Care <PROVIDER_NAME>,negative
45,"Saya pakai <PROVIDER_NAME>, meski <PROVIDER_NAME> lebih greget dalam hal network and speed, setidaknya <PROVIDER_NAME> lebih irit buat anak kere seperti saya.",positive
46,#Boikot <PROVIDER_NAME> harusnya #boikot<PROVIDER_NAME> kartu mahal!. lebih bagus juga <PROVIDER_NAME>,positive
47,<PROVIDER_NAME> <PROVIDER_NAME> Berbagi berkah,positive
48,Baru isi kuota ... tapi baru 2 menit langsung habis kacau. <PROVIDER_NAME> <URL>,negative
49,Sinyalmu jelek banget sih akhir akhir ini <PROVIDER_NAME>,negative
50,#Boikot<PROVIDER_NAME> Pergerakan masif PKI dan antek2nya melalui iklan <PROVIDER_NAME>. Mari hancurkan PKI melalui #Boikot<PROVIDER_NAME>,negative
51,Alhamdulillah masih #setia dengan <PROVIDER_NAME>.. jangan menari di tabuhan gendang orang lain.. selamat isya dan tarawih... ,positive
52,"Aku kira diganti pulsaku. udah komplain sana sini, kok cuma php, <PROVIDER_NAME>",negative
53,Sinyalmu kenapa <PROVIDER_NAME>,negative
54,<PROVIDER_NAME> musuh Ulama #Boikot<PROVIDER_NAME> <URL>,negative
55,RT <USER_MENTION>: sudah lama gak pakai <PROVIDER_NAME>,negative
56,Saya gak benci tapi kelakuan <USER_MENTION> yang bikin #Boikot<PROVIDER_NAME>  Pendukung #PKI coba kamu lihat iklan <PROVIDER_NAME> ada gambar palu arit,negative
57,RT <USER_MENTION>: <USER_MENTION> HT Nya #PuasPake<PROVIDER_NAME> Noh. aku pakek <PROVIDER_NAME> Gimana thu..…,negative
58,"<PROVIDER_NAME> bisa gak sih kuota 4G digabung saja sama 3G, sayang gak terpakai mubazir... Mubazir itu temennya setan lho!! <PROVIDER_NAME> ",negative
59,"Rejeki pejet2.., semoga ke depan dapat samsung J5..#<PRODUCT_NAME> <PROVIDER_NAME> Medan, Indonesia <URL>",positive
60,Asik juga kencang begini ? <PROVIDER_NAME> <URL>,positive
61,Buat apa beli paket 4G jika jaringan internetnya masih Edge <PROVIDER_NAME> <PROVIDER_NAME>,negative
62,Bagaimana ini <PROVIDER_NAME> 4G tapi lemot,negative
63,Nelepon ke sesama <PROVIDER_NAME> pulsa 20.000 cuma cukup buat 23 menit? <PROVIDER_NAME> BANGSAT..............<PROVIDER_NAME>…<URL>,negative
64,Signal 4G <PROVIDER_NAME> bekasi kenapa? Gak bisa internetan sama sekali dari tadi subuh,negative
65,<PROVIDER_NAME> tarif Internet Super Kuota naik lagi. Negara lain internet makin murah kok <PROVIDER_NAME> makin mahal? ,negative
66,JARINGAN <PROVIDER_NAME> tidak ada SINYAL untuk wilayah Sindangkasih - ciamis <PROVIDER_NAME> ,negative
67,<PROVIDER_NAME> terimakasih <PROVIDER_NAME> akhirnya menang pointastic deal dari <PROVIDER_NAME> #PointasticDeal <PROVIDER_NAME> <URL>,positive
68,"<PROVIDER_NAME> kalo bukan karena nomer sudah lama, pasti sudah dibuang saja dari dulu. <PROVIDER_NAME>",negative
69,<PROVIDER_NAME> jadi yang dizalimi bukan cuma saya ya? <PROVIDER_NAME> <URL>,negative
70,mantap ini. #4g #LTE <PROVIDER_NAME> <URL>,positive
71,Sinyal jelek! Komplain gak direspon! #Boikot<PROVIDER_NAME> <PROVIDER_NAME> <URL>,negative
72,"Alhamdulillah mulai hari, ini 2 kartu telpon dan 2 kartu internetan kami gak pakai <PROVIDER_NAME> lagi. #Boikot<PROVIDER_NAME>",negative
73,#Boikot<PROVIDER_NAME> bentuk tekanan masyarakat agar perusahaan publik sekelas <PROVIDER_NAME> lebih berhati-hati ke depannya… <URL>,negative
74,<USER_MENTION> <USER_MENTION> <PROVIDER_NAME> Alhamdulillah saya gak pakai <PROVIDER_NAME> dari dulu #Boikot<PROVIDER_NAME> ,negative
75,Saya dulu memimpikan pakai <PROVIDER_NAME>.  Tapi sekarang gak mimpi lagi.  Setia saja sama <PROVIDER_NAME> walau mahal sedikit. Ikutan #Boikot<PROVIDER_NAME>,positive
76,"jauh sebelum ada aksi #Boikot<PROVIDER_NAME> saya tidak pakai <PROVIDER_NAME> lagi,  sebab <PROVIDER_NAME> masih lebih bagus maaf bukan iklan tapi kenyataan",positive
77,<PROVIDER_NAME> yang terbaik ini peserta nya… <URL>,positive
78,RT <USER_MENTION>: Teman sehari hari. #<PROVIDER_NAME> <PROVIDER_NAME> #<PROVIDER_NAME> #telecommunications… <URL>,positive
79,<PROVIDER_NAME> jelek banget sinyalnya <PROVIDER_NAME>,negative
80,"Saya bisa ke Sydney karena program <PROVIDER_NAME> & itu GRATIS! ada 22 Mahasiswa. Belajar dn liburan, kalian para hacker intropeksi sana",positive
81,Internet mahal turunkan harga paket <PROVIDER_NAME> ,negative
82,Selalu pakai <PROVIDER_NAME> belum pernah pakai <PROVIDER_NAME> dan merasakan <PROVIDER_NAME>lemot Meski <PROVIDER_NAME>mahal tapi dibarengi dengan kualitas,positive
83,"Webnya <PROVIDER_NAME> dibajak ya?  Cie dibajak. Semoga habis ini paket2, spam2 dan promo2nya makin subur.  <PROVIDER_NAME>",negative
84,CS <PROVIDER_NAME> <PROVIDER_NAME> emang paling fast response sama keluhan konsumen. Beda dengan operator sebelah! #opinipenjualpulsa,positive
85,"Ini prinsip soalnya <PROVIDER_NAME> lebih murah dari <PROVIDER_NAME>, masalah sinyal disini Alhamdulillah kencang karena di kota besar kok",positive
86,Terbaik Buat <PROVIDER_NAME> <PROVIDER_NAME>,positive
87,Kembali ke paketan <PROVIDER_NAME> <PROVIDER_NAME>,positive
88,<PROVIDER_NAME> Mantap di Sumedang <PROVIDER_NAME> ,positive
89,"<PROVIDER_NAME> semakin kesini semakin mahal, jaringannya 4G tapi lelet, pesan masukku penuh isinya pesan promo yang nyedot pulsa semua <PROVIDER_NAME>",negative
90,Tolong dong kensinya di benerin di wilayah keramat jati. Kenapa lemot !!!! <PROVIDER_NAME> <PRODUCT_NAME> <PROVIDER_NAME>,negative
91,"Sinyal kami paling kuat KATANYA. internetku di jakarta lemot parah, 3g aja gak dapat. makin hari makin jadi ini provider <PROVIDER_NAME> <PROVIDER_NAME>",negative
92,Keamanan <PROVIDER_NAME> dong yang harus ditingkatkan! Bikin rugi pelanggan aja..!! <URL>,negative
93,harga jual & jumlah per rupiah dari kilobyte internet... memang <PROVIDER_NAME> juara mahalnya sih tsel vs <PROVIDER_NAME> <PROVIDER_NAME> ,negative
94,<PROVIDER_NAME> <PROVIDER_NAME> kenapa jaringan 4g di sembungan bangunjiwo kasihan bantul sudah 3minggu sangat tidak stabil. kuota <PROVIDER_NAME> terbuang,negative
95,<PROVIDER_NAME> <PROVIDER_NAME> apakah setelah mendapat banyak customer sekarang 4G di Sembungan Bangunjiwo Jogja jadi gak stabil?,negative
96,Sinyal macam apa ini? Ping game aja segede itu. Sinyalnya seperti tai. <PROVIDER_NAME> ,negative
97,lebih baik <PROVIDER_NAME> ,positive
98,Malas banget yang 12Gb jadi 6Gb <PROVIDER_NAME> masalahnya harga sama mahalnya - jaringannya sama dan free YouTubenya gak terpakai jamnya hadeh,negative
99,Yang gratisan memang menyenangkan <PROVIDER_NAME> <PRODUCT_NAME> <PRODUCT_NAME> #kuotagratis <URL> ,positive
100,Pindah provider saja kali ya buat internetan #kuning lemot... Dengar dari teman si #biru lebih bagus <PROVIDER_NAME> <PROVIDER_NAME>,positive
101,"tolong lakukan reset di nomor saya  Jaringan lemah, memakan waktu lama untuk open page web #LEMOT #JARINGAN #LTE <PROVIDER_NAME> <PROVIDER_NAME>",negative
102,<PROVIDER_NAME> <PROVIDER_NAME> yg semakin kekinian bikin keki.,positive
103,kecepatan internet di ciwidey segini...  mantap <PROVIDER_NAME> #4glte <USER_MENTION> <URL> …,positive
104,"Jaringan 4g <PROVIDER_NAME> di cimahi kenapa yah,  kok lambat ?, sudah 4 hari ini.  Tapi kalo di kota bandung lancar jaya.. ",negative
105,"<PROVIDER_NAME> parah, cuma bisa di 3G <PROVIDER_NAME> <PROVIDER_NAME>",negative
106,<PROVIDER_NAME> Koneksi 4G rasa GPRS <PROVIDER_NAME> ,negative
107,Kapan nih akses data di kecamatan cisewu kabupaten garut bisa 4G,negative
108,<PROVIDER_NAME> <PROVIDER_NAME>4GLTE <PROVIDER_NAME> #BOGOR #AREA  <URL> … UDAH 3 BULAN TIDAK ADA TANGGAPAN YG JELAS ,negative
109,"tidak direkomendasikan, baru coba paket <PROVIDER_NAME> mingguan, tes pakai twitter 30menit pulsa terus berkurang, langsung unreg. <PROVIDER_NAME>",negative
110,Nonton gratis dibayarin <PROVIDER_NAME> poin  <PROVIDER_NAME> <PROVIDER_NAME>poin ,positive
111,"Belum lama pakai <PROVIDER_NAME>, alhamdulillah selalu bermanfaat sinyalnya. #gsm #handphone <PROVIDER_NAME> #Simpati",positive
112,Terimakasih <PROVIDER_NAME> <URL> ,positive
113,Makin mantap saja si <PROVIDER_NAME>. Sekali SMS tarifnya 300. ,positive
114,"alhamdulillah sudah beres pakai <PROVIDER_NAME> <PROVIDER_NAME>, daripada nunggu konfirmasi <PROVIDER_NAME> yg gak akan pernah datang. #janji… <URL>",positive
115,<PROVIDER_NAME> terimakasih <PROVIDER_NAME> akhirnya menang <PRODUCT_NAME> dari <PROVIDER_NAME>  #<PRODUCT_NAME> <PROVIDER_NAME> ,positive
116,Asik juga kencang begini <PROVIDER_NAME> ,positive
117,Terimakasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME>,positive
118,"Upload video 1GB kurang dari 4 menit, memang mantab ini kecepatan <PROVIDER_NAME>",positive
119,Dapat bonus kuota 2GB dan 100 menit nelpon ke semua operator dari <PROVIDER_NAME>  <PROVIDER_NAME> <PRODUCT_NAME> <URL> ,positive
120,Kuota masih AMAN <PROVIDER_NAME> #capture #kuotaaman Di Kota Mamuju <URL> ,positive
121,Masih ada yang hemat <PROVIDER_NAME>,positive
122,Pakai paket <PRODUCT_NAME> <PROVIDER_NAME> irit.  <PROVIDER_NAME> <PROVIDER_NAME> <URL> ,positive
123,"dibuang sayang karena terlalu setia, lagipula nomernya bagus  <PROVIDER_NAME> <PROVIDER_NAME> <URL> ",positive
124,Baru merasakan segitu besarnya ping.. 36604 ribu lumayanlah buat bukber <PROVIDER_NAME> <PROVIDER_NAME>,positive
125,Itu yang pada nulis disertai hashtag <PROVIDER_NAME>Lemot hidupnya dimana sih? Saya di Ungaran sini kok pakai <PROVIDER_NAME> lancar2 aja tuh.,positive
126,Makanya pakai <PROVIDER_NAME> 60 ribu dapet 9giga. <PROVIDER_NAME> <PROVIDER_NAME>dihack <PROVIDER_NAME> <PROVIDER_NAME>mahal,positive
127,mending pindah ke <PROVIDER_NAME> aja <PROVIDER_NAME>,positive
128,"Saya pakai <PRODUCT_NAME> <PROVIDER_NAME> <PROVIDER_NAME> karena jelas, terjangkau .. pake <PROVIDER_NAME> <PROVIDER_NAME> <PROVIDER_NAME> gak jelas, mahal",positive
129,"Siapa yang mau ditelpon, mumpung ada gratisan nih ...  <PROVIDER_NAME>",positive
130,Tumben <PROVIDER_NAME> murah hati padaKu #onlyForU Jangan2 semua pelanggan diginikan.,positive
131,"Canggih nih, nambah hari malah nambah kuotanya . #kuota <PROVIDER_NAME> <PRODUCT_NAME> #4g <URL> ",positive
132,<PROVIDER_NAME> PENUH DENGAN BONUS <PROVIDER_NAME> ,positive
133,"Sinyal <PROVIDER_NAME> hebat, sampai puncak Halimun masih tetap on, mantap ",positive
134,Nelpon 1.000 Dapat kouta 1gb,positive
135,Makin betah aja sama kamu..  :v   #operator  :v <PROVIDER_NAME> ,positive
136,lumayan ini murah meriah <PROVIDER_NAME> ,positive
137,"WOW, Saya baru mendapatkan hadiah fantastis dari <PRODUCT_NAME>! <PRODUCT_NAME> membuat semuanya jadi simpel <URL>  <PROVIDER_NAME>",positive
138,"Cuma Modal Isi Pulsa 10ribu dapet 2GB Gratis dari <PROVIDER_NAME> :v Tumben Lagi baik, semoga Promonya makin murah murah <PROVIDER_NAME> :D . . <PROVIDER_NAME>",positive
139,Ajaib min <PROVIDER_NAME> kartu saya bisa diisi pulsa & digunakan kembali.. terimakasih ya <PROVIDER_NAME>,positive
140,Mantap deh <PROVIDER_NAME>. Cuma isi pulsa 25ribu dapat bonus paket data 3GB. Terimakasih juga <PROVIDER_NAME> atas pelayanannya. <PROVIDER_NAME> #mantapjiwa,positive
141,terimakasih paket data sudah aktif  dan normal. terimakasih <PROVIDER_NAME> cukup puas dengan pelayanannya. <PROVIDER_NAME> <PROVIDER_NAME>,positive
142,banyak Perusahaan melupakan hal ini & banyak konsumen menghapus pesan tanpa membacanya menyalahkan padahal sudah diingatkan thanks <PROVIDER_NAME> ,positive
143,Terima kasih <PROVIDER_NAME> !! <PROVIDER_NAME>,positive
144,Hore....<PROVIDER_NAME> Ada sinyal.....thanks <PROVIDER_NAME> .... <PROVIDER_NAME> ,positive
145,Alhamdulillah sambil nunggu subuh bisa melihat lantunan Adhan Styles dari Mekah dan Madinah dengan jelas karena paket Internet <PROVIDER_NAME> saya bagus,positive
146,"Dengan <PROVIDER_NAME> juga bisa lihat youtube selama setahun tanpa kuota, makin keren aja. ",positive
